Masculin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Obtenir la météo;Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Localiser la destination de sport;Prendre des photos;Vérifier les relevés bancaires et la carte de crédit;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage;Écrire sur vos moments préférés
Masculin;Employé;30  - 39;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Recherche de poi (Point d'intérêt);Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Location de voiture/réservation de véhicule;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage;Vérifier les relevés bancaires et la carte de crédit
Masculin;Étudiant;20 - 29;Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Recherche itinéraire (google maps);Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Employé;30  - 39;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Obtenir la météo;Réserver le petit-déjeuner;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Prendre des photos;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés
Masculin;Employé;20 - 29;Obtenir la météo;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Prendre des photos;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Féminin;Étudiant;Moins que 20;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Recherche itinéraire (google maps);Obtenir la météo;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Localiser la destination de sport;Prendre des photos;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Féminin;Étudiant;Moins que 20;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Recherche itinéraire (google maps);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Étudiant;20 - 29;Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Location de voiture/réservation de véhicule;Prendre des photos;Localiser la destination de sport;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage;Vérifier les relevés bancaires et la carte de crédit
Masculin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Réserver le petit-déjeuner;Prendre des photos;Location de voiture/réservation de véhicule;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Laisser des avis en ligne sur l'endroit;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage
Féminin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Réserver le petit-déjeuner;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Prendre des photos;Localiser la destination de sport;Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
